P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Hombre,41,Estudios primarios completos. cultural general,Católico no practicante,Jornaleros del campo,Industrial comercial,4.0,No votó,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Hombre,56,"Menos de estudios primarios, no sabe leer",No creyente,Personal manual de servicios no cualificados,,2.0,P.S.O.E,Levante y Murcia,400.001 a 1.000.000 habitantes,1.0
Mujer,35,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,47,Estudios de grado medio,Católico no practicante,,,3.0,,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,4.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,,No votó,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,5.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,46,Estudios primarios completos. cultural general,Católico no practicante,,Agricultor/Propietario,4.0,No votó,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,51,"Menos de estudios primarios, no sabe leer",No creyente,,,5.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,62,"Menos de estudios primarios, no sabe leer",Católico no practicante,Obreros cualificados,,8.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,2.0,U.C.D,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,42,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,3.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,42,Estudios de grado medio,Católico no practicante,,,3.0,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,21,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,8.0,No votó,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Mujer,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Jornaleros del campo,,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,,P.S.O.E,Levante y Murcia,10.001 a 50.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,P.S.O.E,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Mujer,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,1.0,U.C.D,Levante y Murcia,2.001 a 10.000 habitantes,1.0
