P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Hombre,25,Bachiller elemental,Católico practicante,Obreros cualificados,,3.0,D.C,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,33,Bachiller superior,Católico no practicante,,,5.0,,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,79,"Menos de estudios primarios, no sabe leer",Católico practicante,Obreros cualificados,,7.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,66,"Menos de estudios primarios, no sabe leer",Católico practicante,Obreros cualificados,,,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,6.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,59,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,Obreros cualificados,,1.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,27,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Profesional Liberal,,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,65,Bachiller elemental,Católico no practicante,,,6.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Empleados a nivel superior,Industrial comercial,5.0,U.C.D,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,55,Bachiller elemental,Católico no practicante,,,,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Trabajador Independiente,5.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,25,"Menos de estudios primarios, no sabe leer",Católico practicante,,,4.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,54,Bachiller superior,Católico no practicante,Obreros cualificados,,4.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, no sabe leer",Católico no practicante,Funcionarios de nivel medio,,,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,70,"Menos de estudios primarios, no sabe leer",Católico no practicante,,,6.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,45,Universitario o técnicos de grado superior,Católico practicante,Oficiales de las Fuerzas Armadas,,8.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,73,Bachiller elemental,Católico practicante,,,7.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,57,Estudios primarios completos. cultural general,No creyente,,,5.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,29,Bachiller superior,Católico no practicante,,,1.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,39,Bachiller superior,Otras religiones,,,9.0,U.C.D,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,62,,Católico practicante,,,5.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,24,Bachiller superior,Indiferente,,,,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,19,Bachiller superior,Indiferente,,,6.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,62,Estudios primarios completos. cultural general,Católico no practicante,,,5.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,80,Bachiller elemental,Católico practicante,,,7.0,U.C.D,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,35,Bachiller elemental,Indiferente,,,8.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,33,Estudios primarios completos. cultural general,Católico no practicante,,Trabajador Independiente,4.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,28,Estudios primarios completos. cultural general,,,,6.0,P.S.P,Área de Madrid,Más de 1.000.000 habitantes,0.0
Mujer,37,,No creyente,,,9.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,19,,Católico no practicante,,,,Otros,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,25,,Católico practicante,,,7.0,,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,19,,Católico no practicante,,,8.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,51,,Católico no practicante,,,,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,32,,,,,5.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
