CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
728,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,,,,,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Poco,,,Menciona,,,,,,,,,,,De acuerdo,,N.S,N.S,N.S,,De acuerdo,,De acuerdo,,Sin influencia,,Positivamente,Positivamente,,Sin influencia,,,3,Mujer,Casado,2 Hijos,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Trabaja por su cuenta,,U.C.D,Mucha,5.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,5,Aragón y Logroño,2.001 a 10.000 habitantes,Jornaleros del campo,,,,,,,,,,26-35,
729,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,,Sólo una parte,Suficiente,,,,,,,,,,,,2,,,,3,,,Mucho,,Mucho,,,,,Menciona,,,,,,,,De acuerdo,,,De acuerdo,De acuerdo,,N.S,,De acuerdo,,Positivamente,Positivamente,Positivamente,Positivamente,Positivamente,Sí,,3,Mujer,Soltero,4 hijos o más,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,,Mucha,3.0,2.0,Hasta 6.000 ptas mensuales,Extrema izquierda,Aragón y Logroño,2.001 a 10.000 habitantes,Jornaleros del campo,,,2.0,,,,3.0,,,56-65,1.0
730,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Prensa,,La mayoría de los artículos,,1 año,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,6,5,2,,,Mucho,,Algo,,,,,Menciona,,,,,,,De acuerdo,De acuerdo,N.S,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Positivamente,Positivamente,,Positivamente,Positivamente,Sin influencia,Sí,A favor,4,Hombre,Casado,2 Hijos,77,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,U.C.D,Mucha,3.0,1.0,De 6.000 ptas a 11.000 ptas mensuales,5,Aragón y Logroño,2.001 a 10.000 habitantes,,,,2.0,6.0,6.0,5.0,2.0,,,76+,1.0
731,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,Televisión,Radio,Poco/un poco/ nada,,N.S,Juega un papel importante,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,,3,3,3,,,,,,Algo,,,,,Menciona,,,,,,,De acuerdo,De acuerdo,De acuerdo,N.S,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,Positivamente,Positivamente,,Sí,,3,Hombre,Casado,1 Hijo,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes estaba empleado,,,Mucha,4.0,1.0,De 6.000 ptas a 11.000 ptas mensuales,2,Aragón y Logroño,2.001 a 10.000 habitantes,,,,,3.0,3.0,3.0,,,,36-45,1.0
732,Un documento para arreglar los problemas económicos,,Televisión,Revistas,Poco/un poco/ nada,,N.S,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,,,,,,,,Mucho,,Mucho,,,,,Menciona,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Positivamente,Sin influencia,,,Positivamente,,Sí,,,Hombre,Casado,Ninguno,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,U.C.D,Mucha,3.0,2.0,De 12.000 ptas a 18.000 ptas mensuales,5,Aragón y Logroño,2.001 a 10.000 habitantes,,,5.0,,,,,,,,26-35,1.0
733,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,,,,,N.S,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,,Son leyes nuevas,,Menciona,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,,,De acuerdo,,De acuerdo,N.S,Positivamente,,,,,,,A favor,4,Mujer,Casado,2 Hijos,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,No votó,Mucha,4.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,2,Aragón y Logroño,2.001 a 10.000 habitantes,,,,,,,,,,,46-55,
734,Conjunto de ordenanzas que regulan la Administración español,,Televisión,Prensa,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,,,,,Algo,,,,,,,,,,,,,En desacuerdo,,,,N.S,,En desacuerdo,,,,,,,,,Sí,,3,Mujer,Casado,Ninguno,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,,Poco,3.0,1.0,De 66.000 ptas a 85.000 ptas mensuales,5,Aragón y Logroño,2.001 a 10.000 habitantes,Empleados subalternos,Agricultor/Propietario,,,,,,,,,56-65,1.0
735,Conjunto de ordenanzas que regulan la Administración español,,,Revistas,,,N.S,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,7,,,,,,,,,Menciona,,,,,,,,,,,N.S,,N.S,N.S,,,En desacuerdo,,N.S,,,,,,,,,A favor,5,Mujer,Casado,Ninguno,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Mucha,5.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,2,Aragón y Logroño,Menos o igual a 2.000 habitantes,,Agricultor/Propietario,4.0,,7.0,,,,,,36-45,
736,Conjunto de ordenanzas que regulan la Administración español,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Casado,1 Hijo,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 6.000 ptas a 11.000 ptas mensuales,U.C.D,Bastante,5.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,3,Aragón y Logroño,Menos o igual a 2.000 habitantes,Peones y obreros sin cualificar,Agricultor/Propietario,2.0,,,,,,,,36-45,
737,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Soltero,2 Hijos,66,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes estaba empleado,De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Bastante,6.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,2,Aragón y Logroño,Menos o igual a 2.000 habitantes,,Industrial comercial,4.0,,,,,,,,66-75,
738,Conjunto de ordenanzas que regulan la Administración español,,,Prensa,,,,,,,,,,,,,,,,,,,,,,No se confía en la política/la gente está desilusionada,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Mujer,Casado,2 Hijos,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes estaba empleado,De 19.000 ptas a 25.000 ptas mensuales,,Bastante,12.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,2,Aragón y Logroño,Menos o igual a 2.000 habitantes,Peones y obreros sin cualificar,,4.0,,,,,,,,46-55,
739,Un documento para arreglar los problemas económicos,,,,,Suficiente,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Casado,1 Hijo,41,Bachiller elemental,Católico practicante,Alguna vez al mes,Trabaja por su cuenta,Hasta 6.000 ptas mensuales,No votó,Poco,6.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,5,Aragón y Logroño,Menos o igual a 2.000 habitantes,Obreros cualificados,Industrial comercial,1.0,,,,,,,,36-45,
740,Un documento para arreglar los problemas económicos,,,N.S/N.C,,Suficiente,,,,,,,,,,,,,,,,,2,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hombre,Casado,2 Hijos,67,Estudios primarios completos. cultural general,Católico practicante,Alguna vez al mes,Trabaja por su cuenta,De 6.000 ptas a 11.000 ptas mensuales,U.C.D,Mucha,13.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,4,Aragón y Logroño,Menos o igual a 2.000 habitantes,Peones y obreros sin cualificar,,2.0,,,,,,2.0,,66-75,
741,Conjunto de ordenanzas que regulan la Administración español,,,Prensa,,,,,,,,,,,,,,,,,,,,2,,,,Menciona,,,Menciona,,,,,,,,,,,,,,,,,,,,Sin influencia,,,,,,4,Hombre,Casado,2 Hijos,61,Estudios de grado medio,Católico practicante,Alguna vez al mes,Trabaja por su cuenta,De 6.000 ptas a 11.000 ptas mensuales,No votó,Mucha,10.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,Extrema izquierda,Aragón y Logroño,Menos o igual a 2.000 habitantes,Peones y obreros sin cualificar,Industrial comercial,2.0,,,,,,,2.0,56-65,
742,Conjunto de ordenanzas que regulan la Administración español,,,Prensa,,Suficiente,,,,,,,,,,,,,,,,,,3,Mucho,,,Menciona,,,,Menciona,,,,,,,,,,,De acuerdo,,,,,,,,,,,Sin influencia,,,2,Hombre,Casado,2 Hijos,40,Estudios primarios completos. cultural general,Católico no practicante,Los domingos y festivos,Trabaja por su cuenta,De 12.000 ptas a 18.000 ptas mensuales,P.S.O.E,Bastante,12.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,Extrema izquierda,Aragón y Logroño,Menos o igual a 2.000 habitantes,,,3.0,,,,,,,3.0,36-45,
743,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,,Revistas,,Insuficiente,,,,,,,,,,,,,,,,,4,,Mucho,,,,,,,Menciona,,,,,,,,,,,De acuerdo,,,,,De acuerdo,,,Positivamente,Positivamente,,,,,4,Hombre,Soltero,2 Hijos,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Otras religiones,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Poco,15.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,2,Aragón y Logroño,Menos o igual a 2.000 habitantes,Peones y obreros sin cualificar,,4.0,,,,,,4.0,,56-65,
744,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Poco/un poco/ nada,Suficiente,,,,,,,,,,,,1,,,,2,,5,,,Mucho,,,,,,,,,,,,,En desacuerdo,,,,En desacuerdo,,De acuerdo,,N.S,,Positivamente,Positivamente,,Positivamente,Positivamente,Sí,,3,Hombre,Viudo,Ninguno,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,NC,Trabaja por su cuenta,,No votó,Poco,10.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,2,Aragón y Logroño,Menos o igual a 2.000 habitantes,Funcionarios de nivel medio,,,1.0,,,,2.0,,5.0,46-55,1.0
745,Conjunto de ordenanzas que regulan la Administración español,,Televisión,,Poco/un poco/ nada,,8 a 11 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,4,6,6,4,,,,Mucho,,Mucho,,,,,,,,,,,,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,,Positivamente,,Sin influencia,Positivamente,,Positivamente,Sí,Se abstendrá,3,Mujer,Soltero,Ninguno,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.C.E.,Bastante,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,6,Galicia y Asturias,50.001 a 100.000 habitantes,Obreros cualificados,,6.0,4.0,6.0,6.0,4.0,,,,46-55,1.0
746,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,,,,Insuficiente,8 a 11 meses,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,6,6,3,,,3,Mucho,,,,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,En desacuerdo,,De acuerdo,,De acuerdo,De acuerdo,,Positivamente,,Sin influencia,Sin influencia,Positivamente,,A favor,4,Mujer,Casado,4 hijos o más,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Trabaja por su cuenta,De 26.000 ptas a 35.000 ptas mensuales,P.C.E.,Bastante,10.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,2,Galicia y Asturias,50.001 a 100.000 habitantes,Peones y obreros sin cualificar,Industrial comercial,5.0,,6.0,6.0,3.0,,,3.0,18-25,
747,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,,Poco/un poco/ nada,,,,,,,,,,,,,3,,,,6,2,,Mucho,,Mucho,Menciona,,,Menciona,,,,,,,,,En desacuerdo,,,De acuerdo,De acuerdo,,De acuerdo,,En desacuerdo,Positivamente,,Positivamente,Positivamente,Positivamente,,Sí,,4,Mujer,Casado,1 Hijo,60,Estudios de formación profesional,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Bastante,12.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,Extrema izquierda,Galicia y Asturias,50.001 a 100.000 habitantes,Peones y obreros sin cualificar,,6.0,3.0,,,,6.0,2.0,,56-65,1.0
748,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,,Poco/un poco/ nada,Suficiente,1 año,No menciona,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,5,5,6,6,2,,5,,,Mucho,Menciona,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,N.S,Positivamente,Positivamente,,,Positivamente,Positivamente,Sí,A favor,4,Hombre,Casado,Ninguno,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,P.C.E.,Bastante,15.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,2,Galicia y Asturias,50.001 a 100.000 habitantes,Funcionarios de nivel medio,,5.0,5.0,5.0,6.0,6.0,2.0,,5.0,18-25,1.0
