P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P18,P20,P21,P24_num
2.0,6.0,6.0,5.0,3.0,2.5,4.0,Mujer,47,Estudios de grado medio,5.0
1.0,4.0,5.0,3.0,1.0,2.5,4.0,Hombre,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",6.0
1.0,6.0,7.0,4.0,3.0,2.5,4.0,Hombre,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
2.0,3.0,3.0,2.0,7.0,3.0,4.0,Mujer,21,Bachiller superior,5.0
4.0,7.0,6.0,5.0,3.0,2.0,1.0,Mujer,21,Bachiller superior,5.0
1.0,7.0,7.0,7.0,3.0,2.5,1.0,Mujer,51,Estudios primarios completos. cultural general,1.0
7.0,7.0,7.0,4.0,5.0,2.5,4.0,Hombre,70,Universitario o técnicos de grado superior,5.0
3.0,7.0,7.0,5.0,3.0,2.0,4.0,Hombre,49,Estudios de formación profesional,7.0
3.0,5.0,7.0,3.0,3.0,2.5,3.0,Hombre,63,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
2.0,4.0,6.0,3.0,3.0,2.5,4.0,Hombre,60,Bachiller superior,5.0
3.0,4.0,7.0,5.0,3.0,1.0,4.0,Hombre,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
5.0,4.0,2.0,1.0,3.0,1.0,1.0,Hombre,24,Estudios primarios completos. cultural general,5.0
2.0,4.0,4.0,2.0,1.0,2.5,4.0,Mujer,30,Estudios primarios completos. cultural general,8.0
5.0,5.0,6.0,1.0,3.0,2.5,4.0,Hombre,33,Estudios de grado medio,4.0
6.0,5.0,7.0,4.0,1.0,2.5,4.0,Hombre,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
1.0,1.0,4.0,1.0,3.0,2.5,4.0,Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
2.0,6.0,4.0,2.0,3.0,2.5,4.0,Mujer,21,Bachiller superior,7.0
3.0,5.0,3.0,4.0,2.0,4.0,4.0,Mujer,42,Bachiller superior,4.0
4.0,3.0,5.0,3.0,3.0,2.0,5.0,Hombre,39,Estudios primarios completos. cultural general,5.0
1.0,5.0,7.0,5.0,3.0,2.5,4.0,Mujer,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",3.0
4.0,4.0,5.0,4.0,2.0,4.0,4.0,Hombre,33,Universitario o técnicos de grado superior,4.0
1.0,3.0,5.0,7.0,3.0,5.0,4.0,Hombre,30,Estudios primarios completos. cultural general,6.0
3.0,7.0,4.0,2.0,4.0,2.5,4.0,Mujer,69,Estudios primarios completos. cultural general,5.0
2.0,6.0,6.0,5.0,5.0,2.5,4.0,Mujer,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",5.0
5.0,7.0,7.0,1.0,3.0,2.5,3.0,Hombre,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",4.0
2.0,7.0,5.0,3.0,3.0,2.5,4.0,Mujer,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",6.0
1.0,3.0,7.0,5.0,3.0,2.5,4.0,Hombre,64,Universitario o técnicos de grado superior,6.0
2.0,4.0,6.0,2.0,2.0,2.5,2.0,Mujer,22,Estudios primarios completos. cultural general,6.0
4.0,6.0,7.0,4.0,3.0,2.5,4.0,Mujer,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",4.0
4.0,5.0,4.0,3.0,3.0,2.5,1.0,Mujer,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",2.0
7.0,5.0,3.0,6.0,2.0,2.5,4.0,Hombre,28,Estudios primarios completos. cultural general,5.0
1.0,4.0,3.0,3.0,3.0,2.0,4.0,Hombre,21,Estudios primarios completos. cultural general,5.0
2.0,4.0,5.0,4.0,1.0,7.0,4.0,Mujer,52,Estudios primarios completos. cultural general,5.0
2.0,5.0,2.0,1.0,1.0,2.5,4.0,Hombre,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",7.0
